CustomerID,Segment,RFM_Score,R_Score,F_Score,M_Score,DaysSinceLastPurchase,TotalTransactions,TotalSpent,AverageOrderValue,FirstPurchaseDate,LastPurchaseDate,PrimaryCountry
12346,Can't Lose Them,115,1,1,5,325.10625,1,77183.6,77183.6,2011-01-18T10:01:00Z,2011-01-18T10:17:00Z,United Kingdom
13093,Can't Lose Them,155,1,5,5,266.8152777777778,8,7832.469999999998,979.0587499999998,2010-12-01T15:00:00Z,2011-03-17T17:16:00Z,United Kingdom
17850,Can't Lose Them,155,1,5,5,301.925,34,5391.210000000009,158.56500000000028,2010-12-01T08:26:00Z,2011-02-10T14:38:00Z,United Kingdom
12688,Can't Lose Them,215,2,1,5,113.1673611111111,1,4873.810000000005,4873.810000000005,2011-08-18T08:49:00Z,2011-08-18T08:49:00Z,Israel
12752,Can't Lose Them,215,2,1,5,80.97083333333333,1,4366.779999999999,4366.779999999999,2011-09-19T13:32:00Z,2011-09-19T13:32:00Z,Norway
12378,Can't Lose Them,215,2,1,5,129.09444444444443,1,4008.6200000000017,4008.6200000000017,2011-08-02T10:34:00Z,2011-08-02T10:34:00Z,Switzerland
17230,Can't Lose Them,155,1,5,5,263.8597222222222,8,3638.41,454.80125,2010-12-15T11:22:00Z,2011-03-20T16:12:00Z,United Kingdom
13135,Can't Lose Them,115,1,1,5,196.08194444444445,1,3096,3096,2011-05-27T10:52:00Z,2011-05-27T10:52:00Z,United Kingdom
17504,Can't Lose Them,155,1,5,5,205.99375,9,2997.0300000000007,333.0033333333334,2011-01-21T11:09:00Z,2011-05-17T12:59:00Z,United Kingdom
14439,Can't Lose Them,115,1,1,5,319.0493055555556,1,2661.24,2661.24,2011-01-24T11:39:00Z,2011-01-24T11:39:00Z,Greece
15235,Can't Lose Them,155,1,5,5,217.12916666666663,12,2247.51,187.2925,2010-12-01T17:22:00Z,2011-05-06T09:44:00Z,United Kingdom
12501,Can't Lose Them,115,1,1,5,314.9555555555556,1,2169.3899999999994,2169.3899999999994,2011-01-07T12:28:00Z,2011-01-28T13:54:00Z,Germany
15341,Can't Lose Them,214,2,1,4,80.13194444444444,1,2020.52,2020.52,2011-09-20T09:40:00Z,2011-09-20T09:40:00Z,United Kingdom
15372,Can't Lose Them,214,2,1,4,136.84097222222223,1,2007.4,2007.4,2011-07-25T16:39:00Z,2011-07-25T16:39:00Z,United Kingdom
14887,Can't Lose Them,214,2,1,4,78.8875,1,1862,1862,2011-09-21T15:32:00Z,2011-09-21T15:32:00Z,United Kingdom
12383,Can't Lose Them,144,1,4,4,184.2,5,1850.5599999999995,370.112,2010-12-22T14:28:00Z,2011-06-08T08:02:00Z,Belgium
14459,Can't Lose Them,214,2,1,4,154.96875,1,1837.9199999999996,1837.9199999999996,2011-07-07T13:35:00Z,2011-07-07T13:35:00Z,United Kingdom
14935,Can't Lose Them,114,1,1,4,296.92083333333335,1,1784.7099999999998,1784.7099999999998,2011-02-15T14:44:00Z,2011-02-15T14:44:00Z,Channel Islands
12405,Can't Lose Them,214,2,1,4,148.1652777777778,1,1710.3900000000006,1710.3900000000006,2011-07-14T08:52:00Z,2011-07-14T08:52:00Z,Finland
12764,Can't Lose Them,114,1,1,4,316.1048611111111,1,1693.8800000000003,1693.8800000000003,2011-01-27T10:19:00Z,2011-01-27T10:19:00Z,Lebanon
17152,Can't Lose Them,144,1,4,4,194.02152777777775,3,1689.5,563.1666666666666,2011-03-21T16:20:00Z,2011-05-29T12:19:00Z,United Kingdom
15332,Can't Lose Them,144,1,4,4,365.9215277777778,4,1661.06,415.265,2010-12-05T12:00:00Z,2010-12-08T14:43:00Z,Lithuania
14573,Can't Lose Them,154,1,5,4,179.06597222222223,9,1639.8200000000015,182.2022222222224,2010-12-02T19:59:00Z,2011-06-13T11:15:00Z,United Kingdom
12868,Can't Lose Them,154,1,5,4,185.0888888888889,6,1607.0600000000009,267.8433333333335,2010-12-01T12:50:00Z,2011-06-07T10:42:00Z,United Kingdom
13850,Can't Lose Them,214,2,1,4,87.78472222222223,1,1595.4799999999996,1595.4799999999996,2011-08-02T14:04:00Z,2011-09-12T18:00:00Z,United Kingdom
16889,Can't Lose Them,144,1,4,4,194.07291666666663,3,1578.6700000000003,526.2233333333335,2011-01-07T10:47:00Z,2011-05-29T11:05:00Z,United Kingdom
