CustomerID,Segment,RFM_Score,R_Score,F_Score,M_Score,DaysSinceLastPurchase,TotalTransactions,TotalSpent,AverageOrderValue,FirstPurchaseDate,LastPurchaseDate,PrimaryCountry
12357,Promising,315,3,1,5,32.863194444444446,1,6207.669999999996,6207.669999999996,2011-11-06T16:07:00Z,2011-11-06T16:07:00Z,Switzerland
15195,Promising,515,5,1,5,2.0208333333333335,1,3861,3861,2011-12-07T12:20:00Z,2011-12-07T12:20:00Z,United Kingdom
12454,Promising,315,3,1,5,52.90486111111111,1,3528.34,3528.34,2011-10-14T17:13:00Z,2011-10-17T15:07:00Z,Spain
12406,Promising,425,4,2,5,21.727777777777774,2,3415.300000000001,1707.6500000000003,2011-06-09T10:23:00Z,2011-11-17T19:22:00Z,Denmark
12438,Promising,425,4,2,5,13.973611111111111,2,2906.8500000000004,1453.4250000000002,2011-07-22T13:29:00Z,2011-11-25T13:28:00Z,Norway
12578,Promising,425,4,2,5,20.97222222222222,2,2794.5099999999993,1397.2549999999997,2011-01-05T10:46:00Z,2011-11-18T13:30:00Z,Italy
13422,Promising,315,3,1,5,50.96180555555556,1,2626.3000000000006,2626.3000000000006,2011-10-06T13:42:00Z,2011-10-19T13:45:00Z,United Kingdom
17313,Promising,425,4,2,5,17.14375,1,2328.8399999999997,2328.8399999999997,2011-11-08T15:45:00Z,2011-11-22T09:23:00Z,United Kingdom
13365,Promising,525,5,2,5,8.174305555555556,2,2225.3700000000013,1112.6850000000006,2011-05-06T12:00:00Z,2011-12-01T08:39:00Z,United Kingdom
12762,Promising,524,5,2,4,7.102083333333334,2,1898.5200000000004,949.2600000000002,2011-11-14T14:23:00Z,2011-12-02T10:23:00Z,Portugal
16751,Promising,424,4,2,4,30.084722222222226,1,1764.7199999999998,1764.7199999999998,2011-11-09T10:48:00Z,2011-11-09T10:48:00Z,United Kingdom
12349,Promising,414,4,1,4,18.124305555555555,1,1757.55,1757.55,2011-11-21T09:51:00Z,2011-11-21T09:51:00Z,Italy
