CustomerID,FirstPurchaseDate,LastPurchaseDate,TotalTransactions,TotalReturns,TotalItemsPurchased,TotalItemsReturned,TotalSpent,TotalReturnValue,NetSpent,AverageOrderValue,CustomerLifetimeDays,ReturnRate,PrimaryCountry,DaysSinceLastPurchase,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12346,2011-01-18T10:01:00Z,2011-01-18T10:17:00Z,1,1,74215,74215,77183.6,77183.6,0,77183.6,0.01111111111111111,1,United Kingdom,325.10625,1,1,5,115,7,Can't Lose Them
12347,2010-12-07T14:57:00Z,2011-12-07T15:52:00Z,7,0,2458,0,4309.999999999997,0,4309.999999999997,615.7142857142853,365.03819444444446,0,Iceland,1.8736111111111111,5,5,5,555,15,Champions
12348,2010-12-16T19:09:00Z,2011-09-25T13:13:00Z,4,0,2341,0,1797.24,0,1797.24,449.31,282.7527777777778,0,Finland,74.98402777777778,2,4,4,244,10,At Risk
12349,2011-11-21T09:51:00Z,2011-11-21T09:51:00Z,1,0,631,0,1757.55,0,1757.55,1757.55,0,0,Italy,18.124305555555555,4,1,4,414,9,Promising
12350,2011-02-02T16:01:00Z,2011-02-02T16:01:00Z,1,0,197,0,334.40000000000003,0,334.40000000000003,334.40000000000003,0,0,Norway,309.8673611111111,1,1,2,112,4,Lost
12352,2011-02-16T12:33:00Z,2011-11-03T14:37:00Z,8,3,536,66,2506.040000000001,960.63,1545.4100000000003,313.2550000000001,260.0861111111111,0.375,Norway,35.925694444444446,3,5,5,355,13,Loyal Customers
12353,2011-05-19T17:47:00Z,2011-05-19T17:47:00Z,1,0,20,0,89,0,89,89,0,0,Bahrain,203.79375,1,1,1,111,3,Lost
12354,2011-04-21T13:11:00Z,2011-04-21T13:11:00Z,1,0,530,0,1079.4,0,1079.4,1079.4,0,0,Spain,231.98541666666668,1,1,4,114,6,Can't Lose Them
12355,2011-05-09T13:49:00Z,2011-05-09T13:49:00Z,1,0,240,0,459.4,0,459.4,459.4,0,0,Bahrain,213.95902777777775,1,1,2,112,4,Lost
12356,2011-01-18T09:50:00Z,2011-11-17T08:40:00Z,3,0,1591,0,2811.4300000000007,0,2811.4300000000007,937.1433333333335,302.9513888888889,0,Portugal,22.17361111111111,4,3,5,435,12,Loyal Customers
12357,2011-11-06T16:07:00Z,2011-11-06T16:07:00Z,1,0,2708,0,6207.669999999996,0,6207.669999999996,6207.669999999996,0,0,Switzerland,32.863194444444446,3,1,5,315,9,Promising
12358,2011-07-12T10:04:00Z,2011-12-08T10:26:00Z,2,0,248,0,1168.06,0,1168.06,584.03,149.01527777777778,0,Austria,1.1,5,2,4,524,11,Promising
12359,2011-01-12T12:43:00Z,2011-12-02T11:21:00Z,4,2,1609,10,6310.030000000005,127.05,6182.980000000006,1577.5075000000013,323.94305555555553,0.5,Cyprus,7.061805555555556,5,4,5,545,14,Champions
12360,2011-05-23T09:43:00Z,2011-10-18T15:22:00Z,3,0,1165,0,2662.0600000000004,0,2662.0600000000004,887.3533333333335,148.23541666666668,0,Austria,51.894444444444446,3,3,5,335,11,Loyal Customers
12361,2011-02-25T13:51:00Z,2011-02-25T13:51:00Z,1,0,91,0,189.9,0,189.9,189.9,0,0,Belgium,286.9576388888889,1,1,1,111,3,Lost
12362,2011-02-17T10:30:00Z,2011-12-06T15:40:00Z,10,3,2229,17,5226.230000000003,71.65,5154.580000000002,522.6230000000003,292.21527777777777,0.3,Belgium,2.8819444444444446,5,5,5,555,15,Champions
